hip,name,ra_deg,dec_deg,dist_pc,spec_type,gal_lat,exoplanet,bl_paper
5027,HIP5027,16.100417,-25.604722,25.6000,K4/K5V,-86.7210,0,E17
5110,HIP5110,16.374583,15.390000,26.5000,K2V,-47.3451,0,E17
5247,HIP5247,16.784167,63.941111,15.0000,K7V,1.1219,0,E17
5286,HIP5286,16.907917,22.954722,20.7000,K4V,-39.7644,0,E17
5310,HIP5310,16.988333,20.738889,49.4000,A3V,-41.9662,0,E17
5336,HIP5336,17.068333,54.920278,7.5500,G5Vp,-7.8717,0,E17
5346,HIP5346,17.092500,5.649722,35.9000,F0III-I,-56.9672,0,E17
5364,HIP5364,17.147500,10.182222,36.0000,K2III,-52.4584,0,E17
5369,HIP5369,17.168333,17.242500,27.7000,K6,-45.4327,0,E17
5496,HIP5496,17.595417,-67.444722,8.1300,K,-49.5804,0,E17
5521,HIP5521,17.674583,42.931667,26.7000,K0,-19.8000,0,E17
5542,HIP5542,17.775833,55.149722,42.1000,A7Vvar,-7.6139,0,E17
GJ54.1,GJ54.1,18.127500,-16.998889,3.7100,M4.0V,-78.7597,0,E17
5663,HIP5663,18.192083,-25.235556,22.0000,K4V,-84.8545,0,E17
5799,HIP5799,18.600000,-7.922778,24.3000,F5V,-70.0389,0,E17
5842,HIP5842,18.754167,-68.818889,21.1000,K2V,-48.1631,0,E17
5862,HIP5862,18.796250,-45.531389,15.0000,F8V,-70.9994,0,E17
5896,HIP5896,18.942500,-68.875833,20.4000,F6IV,-48.0973,0,E17
5938,HIP5938,19.100833,-12.096944,26.5000,K0V,-73.8684,0,E17
5944,HIP5944,19.122083,42.939167,23.6000,G0,-19.6958,0,E17
5957,HIP5957,19.164167,25.331389,22.7000,K5,-37.1896,1,E17
6069,HIP6069,19.472083,5.473889,15.3000,M2V:,-56.7764,1,E17
6290,HIP6290,20.169583,57.327778,18.9000,K6V:,-5.3192,0,E17
6344,HIP6344,20.378750,80.151667,24.1000,K8,17.3585,0,E17
6351,HIP6351,20.394167,-41.656389,16.8000,K5,-74.2137,0,E17
6379,HIP6379,20.496250,76.710000,16.8000,K0,13.9454,1,E17
6414,HIP6414,20.596250,-33.214167,26.9000,---,-80.9626,0,E17
6537,HIP6537,21.005833,-8.183056,35.1000,K0III,-69.5439,0,E17
6706,HIP6706,21.563750,19.172222,26.0000,F2V:var,-42.9371,0,E17
6748,HIP6748,21.715000,-13.056389,36.2000,F0V,-73.6697,0,E17
6813,HIP6813,21.914167,45.406667,28.3000,F5IV,-16.9980,0,E17
6917,HIP6917,22.270417,21.723056,23.1000,K2V,-40.3074,0,E17
7078,HIP7078,22.807500,70.264444,29.2000,F6V,7.6538,0,E17
7235,HIP7235,23.315833,-24.177778,19.5000,K0V,-80.1273,0,E17
7339,HIP7339,23.638750,68.948056,20.9000,G6V,6.4014,0,E17
7387,HIP7387,23.812500,-58.139444,40.4000,F2V,-58.0498,0,E17
7513,HIP7513,24.199167,41.405278,13.4000,F8V,-20.6664,1,E17
7535,HIP7535,24.274583,12.141389,33.8000,F0V,-49.1973,0,E17
7576,HIP7576,24.397917,-6.760278,23.6000,G5,-66.8700,0,E17
GJ65A,GJ65A,24.755417,-17.950278,2.6700,M5.5V,-75.6997,0,E17
7734,HIP7734,24.900000,45.877500,21.3000,G5IV,-16.1793,0,E17
7748,HIP7748,24.940417,73.708889,27.2000,---,11.1599,0,E17
