target_id,project,source,catalog_ids,ra_deg,dec_deg,data_products_available,estimated_download_gb,search_category,scientific_novelty,prior_significance,followup_leverage,data_quality,method_advantage,publication_value,community_integration,new_followup_balance,storage_cost_penalty,prior_review_adjustment,total_priority,target_selection_score,priority_config_version,status,notes,citations,local_coverage_status,background_target_priority_score,source_hdf5_url
HIP11090,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 11090; HIP11090,35.709583,41.396111,hdf5_size_preflight_ok,0.269842,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_17/holding/spliced_blc0001020304050607_guppi_57813_77887_HIP11090_0008.gpuspec.0002.h5
HIP111170,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 111170; HIP111170,337.82625,-6.555,hdf5_size_preflight_ok,0.242036,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_179/holding/spliced_blc0001020304050607_guppi_57515_49875_HIP111170_0003.gpuspec.0002.h5
HIP112245,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112245; HIP112245,341.024167,64.570556,hdf5_size_preflight_ok,0.241329,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_205/holding/spliced_blc0001020304050607_guppi_57535_47147_HIP112245_0021.gpuspec.0002.h5
HIP112496,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112496; HIP112496,341.806667,18.384444,hdf5_size_preflight_ok,0.263159,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_87/holding/spliced_blc0001020304050607_guppi_57731_84172_HIP112496_0015.gpuspec.0002.h5
HIP112724,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112724; HIP112724,342.42,66.200278,hdf5_size_preflight_ok,0.241826,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_210/holding/spliced_blc0001020304050607_guppi_57540_44685_HIP112724_0003.gpuspec.0002.h5
HIP112748,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112748; HIP112748,342.500833,24.601389,hdf5_size_preflight_ok,0.263164,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_87/holding/spliced_blc0001020304050607_guppi_57731_86281_HIP112748_0021.gpuspec.0002.h5
HIP112918,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112918; HIP112918,343.010417,23.413056,hdf5_size_preflight_ok,0.263281,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_114/holding/spliced_blc0001020304050607_guppi_57760_83501_HIP112918_0009.gpuspec.0002.h5
HIP112935,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 112935; HIP112935,343.100417,9.835556,hdf5_size_preflight_ok,0.262743,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_114/holding/spliced_blc0001020304050607_guppi_57760_85629_HIP112935_0015.gpuspec.0002.h5
HIP113409,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 113409; HIP113409,344.52625,-13.6425,hdf5_size_preflight_ok,0.242053,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16A_999_199/holding/spliced_blc0001020304050607_guppi_57530_46571_HIP113409_0009.gpuspec.0002.h5
HIP114379,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 114379; HIP114379,347.489167,47.958333,hdf5_size_preflight_ok,0.241847,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_82/holding/spliced_blc3031323334353637_guppi_57915_34646_HIP114379_0050.gpuspec.0002.h5
HIP114430,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 114430; HIP114430,347.613333,43.544167,hdf5_size_preflight_ok,0.268856,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_10/holding/spliced_blc0001020304050607_guppi_57805_60898_HIP114430_0036.gpuspec.0002.h5
HIP114971,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 114971; HIP114971,349.29125,3.282222,hdf5_size_preflight_ok,0.269313,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_39/holding/spliced_blc0001020304050607_guppi_57848_57955_HIP114971_0056.gpuspec.0002.h5
HIP115142,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 115142; HIP115142,349.85,-5.124167,hdf5_size_preflight_ok,0.270109,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_42/holding/spliced_blc0001020304050607_guppi_57852_52072_HIP115142_0038.gpuspec.0002.h5
HIP116106,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 116106; HIP116106,352.88125,-4.087222,hdf5_size_preflight_ok,0.270453,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_42/holding/spliced_blc0001020304050607_guppi_57852_58248_HIP116106_0056.gpuspec.0002.h5
HIP116495,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 116495; HIP116495,354.097083,2.102222,hdf5_size_preflight_ok,0.268753,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_44/holding/spliced_blc0001020304050607_guppi_57858_53185_HIP116495_0050.gpuspec.0002.h5
HIP116584,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 116584; HIP116584,354.390833,46.458056,hdf5_size_preflight_ok,0.237764,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_48/holding/spliced_blc0001020304050607_guppi_57680_08933_HIP116584_0021.gpuspec.0002.h5
HIP116819,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 116819; HIP116819,355.157917,-18.988889,hdf5_size_preflight_ok,0.26996,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT17A_999_51/holding/spliced_blc0001020304050607_guppi_57867_49555_HIP116819_0044.gpuspec.0002.h5
HIP116838,2026 Technosignature Search,Breakthrough Listen HPRC full target catalog,HIP 116838; HIP116838,355.214167,20.365833,hdf5_size_preflight_ok,0.2372,new_parameter_space,2.75,1.5,0,3,2.5,1,3,2.75,0,0.08,16.5,0.542,background_priority_v0,raw_download_approval_required,Current BL HDF5 URL passed HEAD-only size preflight. Raw download still requires explicit operator approval and storage-reserve check.,docs/bl_hprc_target_list_research.md; docs/astrometrics_data_selection_policy.md; docs/SYSTEMATIC_SEARCH_PLAN.md,not_searched_size_preflight_ok,0.463,https://bldata.berkeley.edu/pipeline/AGBT16B_999_30/holding/spliced_blc0001020304050607_guppi_57659_12470_HIP116838_0015.gpuspec.0002.h5
