# -------------------------- o --------------------------
# File ID: spliced_blc0001020304050607_guppi_57752_83026_HIP99427_0033.gpuspec.0002.h5 
# -------------------------- o --------------------------
# Source:HIP99427
# MJD: 57752.960949074077	RA: 20h10m52.584s	DEC: 77d14m28.005s
# DELTAT:   1.073742	DELTAF(Hz): -2861.022949	max_drift_rate:  10.000000	obs_length: 293.131518
# --------------------------
# Top_Hit_# 	Drift_Rate 	SNR 	Uncorrected_Frequency 	Corrected_Frequency 	Index 	freq_start 	freq_end 	SEFD 	SEFD_freq 	Coarse_Channel_Number 	Full_number_of_hits 	
# --------------------------
000001	  5.214355	 12.777745	   1921.531677	   1921.531677	632	   1921.543121	   1921.523094	0.0	      0.000000	1	3	
000002	  5.214355	 11.008067	   1909.993172	   1909.993172	569	   1910.004616	   1909.984589	0.0	      0.000000	5	3	
000003	 -5.214355	 15.417176	   1699.999809	   1699.999809	239	   1700.011253	   1699.991226	0.0	      0.000000	77	1	
000004	 -5.214355	 35.610191	   1694.100380	   1694.100380	253	   1694.111824	   1694.091797	0.0	      0.000000	79	1	
000005	 -5.214355	 13.029245	   1626.471519	   1626.471519	339	   1626.482964	   1626.462936	0.0	      0.000000	102	17	
000006	 -5.214355	 27.163118	   1626.442909	   1626.442909	349	   1626.454353	   1626.434326	0.0	      0.000000	102	17	
000007	 -5.214355	 23.492010	   1626.136780	   1626.136780	456	   1626.148224	   1626.128197	0.0	      0.000000	102	17	
000008	 -5.214355	 22.448168	   1626.093864	   1626.093864	471	   1626.105309	   1626.085281	0.0	      0.000000	102	17	
000009	 -5.214355	 11.663568	   1618.386269	   1618.386269	93	   1618.397713	   1618.377686	0.0	      0.000000	105	7	
000010	 -5.214355	 10.465226	   1618.214607	   1618.214607	153	   1618.226051	   1618.206024	0.0	      0.000000	105	7	
000011	 -5.214355	 14.789097	   1618.137360	   1618.137360	180	   1618.148804	   1618.128777	0.0	      0.000000	105	7	
000012	 -5.214355	 45.308983	   1556.908607	   1556.908607	77	   1556.920052	   1556.900024	0.0	      0.000000	126	12	
000013	 -5.214355	 65.807434	   1556.897163	   1556.897163	81	   1556.908607	   1556.888580	0.0	      0.000000	126	12	
000014	 -5.214355	 32.863258	   1556.831360	   1556.831360	104	   1556.842804	   1556.822777	0.0	      0.000000	126	12	
000015	 -5.214355	 87.590988	   1556.324959	   1556.324959	281	   1556.336403	   1556.316376	0.0	      0.000000	126	12	
000016	 -5.214355	 10.613907	   1555.993080	   1555.993080	397	   1556.004524	   1555.984497	0.0	      0.000000	126	12	
000017	 -5.214355	 58.260380	   1555.758476	   1555.758476	479	   1555.769920	   1555.749893	0.0	      0.000000	126	12	
000018	 -5.214355	 10.043649	   1553.300858	   1553.300858	314	   1553.312302	   1553.292274	0.0	      0.000000	127	2	
000019	 -5.214355	 29.688412	   1553.283691	   1553.283691	320	   1553.295135	   1553.275108	0.0	      0.000000	127	2	
000020	 -5.214355	 22.133280	   1550.202370	   1550.202370	373	   1550.213814	   1550.193787	0.0	      0.000000	128	36	
000021	 -5.214355	 10.763902	   1550.148010	   1550.148010	392	   1550.159454	   1550.139427	0.0	      0.000000	128	36	
000022	 -5.214355	 11.534918	   1550.130844	   1550.130844	398	   1550.142288	   1550.122261	0.0	      0.000000	128	36	
000023	 -5.214355	 11.232390	   1550.096512	   1550.096512	410	   1550.107956	   1550.087929	0.0	      0.000000	128	36	
000024	 -5.214355	 11.567624	   1550.073624	   1550.073624	418	   1550.085068	   1550.065041	0.0	      0.000000	128	36	
000025	 -5.214355	 11.587139	   1550.047874	   1550.047874	427	   1550.059319	   1550.039291	0.0	      0.000000	128	36	
000026	 -5.214355	 24.287970	   1545.075417	   1545.075417	117	   1545.086861	   1545.066833	0.0	      0.000000	130	3	
000027	 -5.214355	 19.774147	   1545.061111	   1545.061111	122	   1545.072556	   1545.052528	0.0	      0.000000	130	3	
000028	 -5.214355	 13.996670	   1538.380623	   1538.380623	409	   1538.392067	   1538.372040	0.0	      0.000000	132	4	
000029	  5.214355	 10.444532	   1537.994385	   1537.994385	544	   1538.005829	   1537.985802	0.0	      0.000000	132	4	
000030	  5.214355	 13.256277	   1537.699699	   1537.699699	647	   1537.711143	   1537.691116	0.0	      0.000000	132	4	
000031	  5.214355	 10.280252	   1537.688255	   1537.688255	651	   1537.699699	   1537.679672	0.0	      0.000000	132	4	
000032	 -5.214355	 11.409346	   1533.416748	   1533.416748	96	   1533.428192	   1533.408165	0.0	      0.000000	134	1	
000033	  5.214355	 13.931399	   1420.449257	   1420.449257	669	   1420.460701	   1420.440674	0.0	      0.000000	172	5	
000034	  5.214355	 11.206773	   1091.388702	   1091.388702	996	   1091.400146	   1091.380119	0.0	      0.000000	284	6	
000035	 -5.214355	 43.006557	   1089.998245	   1089.998245	458	   1090.009689	   1089.989662	0.0	      0.000000	285	17	
